extraction_id,evidence_role_type,identified_occupation,activity_description_in_pad,skills_needed_for_activity,source_material_quote,project_id,section_id,pad_id,combined_text
8,inferred,Accounts Assistant,Handle accounts tasks to support project financial transactions and bookkeeping for the project implementation unit.,"['bookkeeping and ledgers', 'payment processing', 'invoice reconciliation', 'basic financial reporting']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,052,"Accounts Assistant Handle accounts tasks to support project financial transactions and bookkeeping for the project implementation unit. bookkeeping and ledgers, payment processing, invoice reconciliation, basic financial reporting"
9,inferred,Logistics Assistant,"Support logistics functions including procurement logistics, transport coordination and site supplies for project implementation.","['inventory management', 'transport coordination', 'supply chain planning', 'site logistics coordination']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,053,"Logistics Assistant Support logistics functions including procurement logistics, transport coordination and site supplies for project implementation. inventory management, transport coordination, supply chain planning, site logistics coordination"
10,explicit,Communications Specialist,"Provide communications support, stakeholder engagement and disclosure activities during project preparation and implementation.","['stakeholder communications', 'public consultation', 'media relations', 'information disclosure']","This component will also finance staff costs to support the set-up operations of the Rusumo Power Company Limited  (RPCL) and NELSAP Rusumo Project Implementation  Unit (RPIU)  including a  project manager, senior  engineers  (civil, electrical and mechanical), a  quantity surveyor, a  safeguards  team, a procurement specialist, a  financial management  specialist, accounts and  logistics assistant, a communications  specialist and other  technical staff.",P075941,2,054,"Communications Specialist Provide communications support, stakeholder engagement and disclosure activities during project preparation and implementation. stakeholder communications, public consultation, media relations, information disclosure"
11,inferred,Environmental and Social Specialist,Implement the Environmental and Social Management Plan and the Resettlement Action Plan including compensation and livelihood restoration activities.,"['resettlement planning', 'livelihood restoration', 'environmental mitigation design', 'stakeholder engagement']",This component will  finance the  Environmental and Social Management  Plan (ESMP) and the Resettlement Action Plan (RAP)  including cash compensation to approximately Six  Hundred  Sixty Four  (664) project  affected  households and implementation of  the  associated Livelihood Restoration Program and the  Local  Area Development  Plan  (LADP).,P075941,2,055,"Environmental and Social Specialist Implement the Environmental and Social Management Plan and the Resettlement Action Plan including compensation and livelihood restoration activities. resettlement planning, livelihood restoration, environmental mitigation design, stakeholder engagement"
12,explicit,Owner's Engineer,"Provide technical oversight and coordination of procurement, design, construction, interface management and preparation for operation and maintenance, and coordinate ESMP and RAP implementation.","['technical oversight', 'construction supervision', 'interface management', 'compliance coordination']","This component will finance an Owner's Engineer to assist the Project entity with: (i) overall project management  and supervision of the procurement,  design, construction, interface management and  preparation for operation and  maintenance of  the power plant complex; and (ii) coordination of  the implementation of  the ESMP RAP.",P075941,2,056,"Owner's Engineer Provide technical oversight and coordination of procurement, design, construction, interface management and preparation for operation and maintenance, and coordinate ESMP and RAP implementation. technical oversight, construction supervision, interface management, compliance coordination"
13,inferred,Construction Supervisor,"Supervise excavation, tunneling, concrete works, access road construction and on-site construction facilities for the power plant complex.","['site supervision', 'construction safety management', 'scheduling and sequencing', 'quality assurance']","This component comprises all  excavation/earth works, tunneling  and  concrete  for the power  plant complex  structures, including  a  barrage and  gated spillway, intake works  and diversion/power canal, surface powerhouse,  access roads  and construction site facilities such  as  offices and  housing.",P075941,2,057,"Construction Supervisor Supervise excavation, tunneling, concrete works, access road construction and on-site construction facilities for the power plant complex. site supervision, construction safety management, scheduling and sequencing, quality assurance"
14,inferred,Geotechnical Engineer,Assess geological risk and provide geotechnical input for civil works and tunneling under a remeasurable civil works contract.,"['subsurface investigation', 'tunneling risk assessment', 'slope stability analysis', 'foundation design']","For these reasons, the project will be implemented  under  a two contract arrangement: (i)  civil works on a remeasurable  basis to  cater for  the geological risk; and (ii) E&M plant including hydromechanical equipment  on  an EPC basis.",P075941,2,058,"Geotechnical Engineer Assess geological risk and provide geotechnical input for civil works and tunneling under a remeasurable civil works contract. subsurface investigation, tunneling risk assessment, slope stability analysis, foundation design"
15,inferred,Commissioning Engineer,"Carry out testing and commissioning of hydro-mechanical equipment, turbine-generator sets, substation and control systems for the power complex.","['testing and commissioning', 'system integration', 'performance validation', 'test procedure development']","This component  will  include  supply,  installation, testing and commissioning of: (i) hydro-mechanical equipment;  (ii) turbine-generator sets  and auxiliaries; (iii) generation substation; and  (iv) power  complex control and communications  equipment.",P075941,2,059,"Commissioning Engineer Carry out testing and commissioning of hydro-mechanical equipment, turbine-generator sets, substation and control systems for the power complex. testing and commissioning, system integration, performance validation, test procedure development"
16,inferred,Transmission Line Engineer,Design and supervise construction of the three transmission lines connecting the Rusumo power station to national grids.,"['transmission design and routing', 'tower erection supervision', 'stringing operations', 'transmission testing']","This component will consist of  construction of three  transmission lines  from Rusumo to:  (i)  Gitega,  Burundi (161 km); (ii)  Kigali, Rwanda (119 km); and  (iii) Nyakanazi, Tanzania (98.2 km).",P075941,2,060,"Transmission Line Engineer Design and supervise construction of the three transmission lines connecting the Rusumo power station to national grids. transmission design and routing, tower erection supervision, stringing operations, transmission testing"
1,explicit,Project Manager,Serve as head of the Rusumo Project Implementation Unit and lead project implementation at the unit level.,"['project management', 'stakeholder coordination', 'program monitoring', 'contract oversight', 'reporting and communication']",The RPIU will be staffed with a project manager as head of the Unit.,P075941,3,061,"Project Manager Serve as head of the Rusumo Project Implementation Unit and lead project implementation at the unit level. project management, stakeholder coordination, program monitoring, contract oversight, reporting and communication"
2,explicit,Owner's Engineer,"Provide overall project management and supervision of procurement, design, construction, interfacing with management and preparation for operation and maintenance; coordinate implementation of the Environmental and Social Management Plan and related livelihood and community development follow-up, including grievance handling.","['construction supervision', 'engineering design review', 'procurement oversight', 'environmental and social coordination', 'grievance handling']","The RPIU will be supported by the Owner's Engineer who will be responsible for: (i) overall project management and supervision of the procurement, design, construction, interfacing with management and preparation for the operation and maintenance of the power plant complex; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the follow-up activities related to livelihood restoration, and community development programs under the Resettlement Action Plan (RAP), including handling of grievance mechanisms.",P075941,3,062,"Owner's Engineer Provide overall project management and supervision of procurement, design, construction, interfacing with management and preparation for operation and maintenance; coordinate implementation of the Environmental and Social Management Plan and related livelihood and community development follow-up, including grievance handling. construction supervision, engineering design review, procurement oversight, environmental and social coordination, grievance handling"
3,explicit,Commissioner for Energy,Serve on the Project Steering Committee to provide oversight of the Rusumo Project Implementation Unit and ensure timely and quality project implementation.,"['policy oversight', 'strategic coordination', 'inter-agency communication', 'project governance', 'performance oversight']",The PSC will provide an oversight function and shall be comprised of an official from the Ministry of Energy (at the level of Commissioner for energy) and the utility (at least at the level of head of the generation department) from each of the respective beneficiary countries.,P075941,3,063,"Commissioner for Energy Serve on the Project Steering Committee to provide oversight of the Rusumo Project Implementation Unit and ensure timely and quality project implementation. policy oversight, strategic coordination, inter-agency communication, project governance, performance oversight"
4,explicit,Head of Generation Department,"Participate on the Project Steering Committee to oversee RPIU functions, provide technical oversight and cross-coordination support for project implementation.","['power generation expertise', 'technical oversight', 'operational coordination', 'stakeholder engagement', 'reporting oversight']",The PSC will provide an oversight function and shall be comprised of an official from the Ministry of Energy (at the level of Commissioner for energy) and the utility (at least at the level of head of the generation department) from each of the respective beneficiary countries.,P075941,3,064,"Head of Generation Department Participate on the Project Steering Committee to oversee RPIU functions, provide technical oversight and cross-coordination support for project implementation. power generation expertise, technical oversight, operational coordination, stakeholder engagement, reporting oversight"
5,inferred,Water Resources Manager,"Ensure coordinated post-construction water resources management for the Kagera River Basin, including compliance with water use rights, maintaining water levels and quality, and periodic reporting on water use.","['hydrological analysis', 'water use rights compliance', 'water quality monitoring', 'intergovernmental coordination', 'technical reporting']","To ensure coordinated management of the water use during the post-construction a d operation of the Power Plant Complex, a Water Resources Technical Sub-committee will be established to ensure adequate water resources management of the Kagera River Basin. The Water Resources Technical Sub-committee shall be responsible for: (i) ensuring compliance with the water use rights and related aspects; (ii) providing oversight in maintaining water levels to ensure that the natural life, water quality and quantity and the Kagera River Basin-wide surroundings, are not adversely affected by the Project; and (iii) facilitating governmental and inter-governmental actions that may be required, including consistent periodic and accurate reporting to the Kagera River Basin Management Team of the water use, including the water quality and quantity.",P075941,3,065,"Water Resources Manager Ensure coordinated post-construction water resources management for the Kagera River Basin, including compliance with water use rights, maintaining water levels and quality, and periodic reporting on water use. hydrological analysis, water use rights compliance, water quality monitoring, intergovernmental coordination, technical reporting"
6,inferred,Financial Management Specialist,"Implement disbursement and financial management procedures, prepare unaudited interim financial reports and financial statements, and support financial administration of the project.","['public sector accounting', 'financial reporting', 'disbursement processing', 'audit coordination', 'financial analysis']","The Project Implementation Manual shall include the following provisions: (a) capacity building activities for sustained achievement of the Project's objectives; (b) disbursement, financial management and procurement procedures; (c) institutional administration, coordination and day-to-day execution of activities of the Project; (d) monitoring, evaluation, reporting, information, education and communication; (e) Project impact and implementation indicators, including the procedures for monitoring and evaluation of the Project activities; (f) the pertinent environmental and social safeguard documents; (h) the format of the unaudited interim financial reports and the Financial Statements; and (i) any such other administrative, financial, technical and organizational arrangements and procedures as shall be required for the Project.",P075941,3,066,"Financial Management Specialist Implement disbursement and financial management procedures, prepare unaudited interim financial reports and financial statements, and support financial administration of the project. public sector accounting, financial reporting, disbursement processing, audit coordination, financial analysis"
7,inferred,Procurement Specialist,"Develop and implement procurement procedures and arrangements for project goods, works and services in accordance with the Project Implementation Manual.","['tender preparation', 'bid evaluation', 'contract management', 'procurement compliance', 'vendor management']","The Project Implementation Manual shall include the following provisions: (a) capacity building activities for sustained achievement of the Project's objectives; (b) disbursement, financial management and procurement procedures; (c) institutional administration, coordination and day-to-day execution of activities of the Project; (d) monitoring, evaluation, reporting, information, education and communication; (e) Project impact and implementation indicators, including the procedures for monitoring and evaluation of the Project activities; (f) the pertinent environmental and social safeguard documents; (h) the format of the unaudited interim financial reports and the Financial Statements; and (i) any such other administrative, financial, technical and organizational arrangements and procedures as shall be required for the Project.",P075941,3,067,"Procurement Specialist Develop and implement procurement procedures and arrangements for project goods, works and services in accordance with the Project Implementation Manual. tender preparation, bid evaluation, contract management, procurement compliance, vendor management"
8,inferred,Monitoring and Evaluation Specialist,"Design and implement results monitoring and evaluation for project indicators, track construction and commissioning progress, and monitor implementation of the Environmental and Social Management Plan and Resettlement Action Plan.","['indicator framework design', 'data analysis', 'field monitoring', 'impact evaluation', 'report writing']","The RPIU will be responsible for results monitoring and evaluation. Activities to be monitored include the timely and efficient construction and commissioning of the power plant complex, the transmission lines, and effective implementation of the ESMP and RAP.",P075941,3,068,"Monitoring and Evaluation Specialist Design and implement results monitoring and evaluation for project indicators, track construction and commissioning progress, and monitor implementation of the Environmental and Social Management Plan and Resettlement Action Plan. indicator framework design, data analysis, field monitoring, impact evaluation, report writing"
9,inferred,Field Data Collector,"Collect project monitoring data including construction progress, environmental and social impact information, and resettlement monitoring data for the Rusumo project.","['household survey implementation', 'field interviewing', 'data entry and quality control', 'GPS and mapping', 'sample collection']",Data collection will also be the responsibility of the RPIU.,P075941,3,069,"Field Data Collector Collect project monitoring data including construction progress, environmental and social impact information, and resettlement monitoring data for the Rusumo project. household survey implementation, field interviewing, data entry and quality control, GPS and mapping, sample collection"
10,inferred,Power Plant Operator,"Operate and maintain the power plant complex after construction, either directly by the owner or delegated to a competent private entity.","['power plant operation', 'equipment maintenance', 'safety and compliance', 'troubleshooting', 'preventive maintenance']","Following the power plant construction period, the RPCL will be responsible for the operations and maintenance of the power plant complex (delegating to a competent private entity).",P075941,3,070,"Power Plant Operator Operate and maintain the power plant complex after construction, either directly by the owner or delegated to a competent private entity. power plant operation, equipment maintenance, safety and compliance, troubleshooting, preventive maintenance"
11,inferred,Environmental and Social Safeguards Specialist,"Coordinate and support implementation of the Environmental and Social Management Plan and follow-up livelihood and community development activities under the Resettlement Action Plan, including grievance mechanism handling.","['safeguards implementation', 'resettlement planning', 'community engagement', 'grievance redress', 'impact monitoring']","The RPIU will be supported by the Owner's Engineer who will be responsible for: (i) overall project management and supervision of the procurement, design, construction, interfacing with management and preparation for the operation and maintenance of the power plant complex; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the follow-up activities related to livelihood restoration, and community development programs under the Resettlement Action Plan (RAP), including handling of grievance mechanisms.",P075941,3,071,"Environmental and Social Safeguards Specialist Coordinate and support implementation of the Environmental and Social Management Plan and follow-up livelihood and community development activities under the Resettlement Action Plan, including grievance mechanism handling. safeguards implementation, resettlement planning, community engagement, grievance redress, impact monitoring"
12,inferred,Environmental Compliance Auditor,Carry out periodic technical and compliance audits of environmental and social risk mitigation measures and report audit findings.,"['environmental auditing', 'compliance assessment', 'report preparation', 'mitigation monitoring', 'field inspection']","This will include quarterly implementation progress and financial reports by the project RPIU with support from the Owner's Engineer, as well as periodic technical and compliance audits of the environment and social risk mitigation measures.",P075941,3,072,"Environmental Compliance Auditor Carry out periodic technical and compliance audits of environmental and social risk mitigation measures and report audit findings. environmental auditing, compliance assessment, report preparation, mitigation monitoring, field inspection"
1,explicit,Owner's Engineer,Provide technical support and oversight to the Rusumo Project Implementation Unit during project implementation.,"['hydropower engineering', 'technical oversight', 'design review', 'construction supervision', 'commissioning planning']","The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP).",P075941,4,073,"Owner's Engineer Provide technical support and oversight to the Rusumo Project Implementation Unit during project implementation. hydropower engineering, technical oversight, design review, construction supervision, commissioning planning"
2,inferred,Project Manager,"Manage and supervise procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines on behalf of the Rusumo Project Implementation Unit.","['infrastructure project management', 'stakeholder coordination', 'schedule management', 'risk management', 'contract oversight']","The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP).",P075941,4,074,"Project Manager Manage and supervise procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines on behalf of the Rusumo Project Implementation Unit. infrastructure project management, stakeholder coordination, schedule management, risk management, contract oversight"
3,inferred,Procurement Specialist,Manage and coordinate procurement activities for the project to mitigate limited implementation capacity.,"['public procurement procedures', 'bid evaluation', 'contract packaging', 'procurement planning', 'supplier management']","The newly established RPCL will not have the experience and capacity in the implementation of large-scale infrastructure projects, especially in the areas of procurement, financial management and contract management. To mitigate these risks, the Rusumo RPIU at NELSAP will manage and coordinate all the activities on behalf of the RPCL.",P075941,4,075,"Procurement Specialist Manage and coordinate procurement activities for the project to mitigate limited implementation capacity. public procurement procedures, bid evaluation, contract packaging, procurement planning, supplier management"
4,inferred,Financial Management Specialist,Provide financial management capacity and oversight to support project implementation and address identified capacity gaps.,"['budgeting and forecasting', 'financial reporting', 'fund disbursement controls', 'project accounting', 'audit readiness']","The newly established RPCL will not have the experience and capacity in the implementation of large-scale infrastructure projects, especially in the areas of procurement, financial management and contract management. To mitigate these risks, the Rusumo RPIU at NELSAP will manage and coordinate all the activities on behalf of the RPCL.",P075941,4,076,"Financial Management Specialist Provide financial management capacity and oversight to support project implementation and address identified capacity gaps. budgeting and forecasting, financial reporting, fund disbursement controls, project accounting, audit readiness"
5,inferred,Contract Manager,Manage and coordinate contract management for procurement and construction contracts under the project.,"['contract administration', 'claims management', 'contract negotiation', 'performance monitoring', 'compliance review']","The newly established RPCL will not have the experience and capacity in the implementation of large-scale infrastructure projects, especially in the areas of procurement, financial management and contract management. To mitigate these risks, the Rusumo RPIU at NELSAP will manage and coordinate all the activities on behalf of the RPCL.",P075941,4,077,"Contract Manager Manage and coordinate contract management for procurement and construction contracts under the project. contract administration, claims management, contract negotiation, performance monitoring, compliance review"
6,inferred,Environmental Specialist,Coordinate and implement the Environmental and Social Management Plan for the power plant complex and transmission lines.,"['environmental impact mitigation', 'environmental monitoring', 'permit compliance', 'environmental management planning', 'stakeholder engagement']","The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP).",P075941,4,078,"Environmental Specialist Coordinate and implement the Environmental and Social Management Plan for the power plant complex and transmission lines. environmental impact mitigation, environmental monitoring, permit compliance, environmental management planning, stakeholder engagement"
7,inferred,Resettlement Specialist,Coordinate and implement the Resettlement Action Plan to manage impacts on project affected people.,"['resettlement planning', 'land acquisition management', 'stakeholder consultation', 'livelihood restoration', 'beneficiary verification']","The RPIU will be supported by the Owner's Engineer and will be responsible for: (i) overall project management and supervision of the procurement, design, construction and preparation for operation and maintenance of the power plant complex and transmission lines; and (ii) coordination of the implementation of the Environmental and Social Management Plan (ESMP) and the Resettlement Action Plan (RAP).",P075941,4,079,"Resettlement Specialist Coordinate and implement the Resettlement Action Plan to manage impacts on project affected people. resettlement planning, land acquisition management, stakeholder consultation, livelihood restoration, beneficiary verification"
8,inferred,Power Plant Operator,Operate the power plant under a competitively selected private operator contract and enforce Power Purchase Agreement obligations to ensure safe and reliable dam operations.,"['hydropower plant operations', 'safety management', 'plant performance optimization', 'power purchase agreement enforcement', 'operations monitoring']","The Power Plant operations will be contracted out to a competitively-selected private operator, and this operator will receive the delegated authority to enforce the PPA obligations. The operator will also provide the necessary expertise to ensure safe and reliable dam operations.",P075941,4,080,"Power Plant Operator Operate the power plant under a competitively selected private operator contract and enforce Power Purchase Agreement obligations to ensure safe and reliable dam operations. hydropower plant operations, safety management, plant performance optimization, power purchase agreement enforcement, operations monitoring"
9,inferred,Safeguards Specialist,"Staff the Rusumo Project Implementation Unit safeguards unit and implement safeguards instruments, including cross-boundary modalities.","['safeguards implementation', 'cross-boundary coordination', 'monitoring and reporting', 'stakeholder engagement', 'compliance assessment']","Poor execution of safeguards instruments. Due diligence on environmental and social risks carried out during project preparation has resulted in the development of a set of environment and social safeguard instruments designed to effectively mitigate these risks, as well as enhance stakeholder awareness and stress the need to be proactive in ensuring compliance with these instruments. Nevertheless, the RPIU has a limited track record and capacity to implement safeguards instruments especially the cross boundary implementation modalities. The RPIU will include a safeguards unit, while a safeguards panel has also been instituted.",P075941,4,081,"Safeguards Specialist Staff the Rusumo Project Implementation Unit safeguards unit and implement safeguards instruments, including cross-boundary modalities. safeguards implementation, cross-boundary coordination, monitoring and reporting, stakeholder engagement, compliance assessment"
10,inferred,Technical Auditor,Conduct regular third party technical audits of safeguards measures to ensure compliance with safeguard policies.,"['technical audit methods', 'safeguards compliance auditing', 'report writing', 'field inspections', 'risk assessment']","The RPIU will include a safeguards unit, while a safeguards panel has also been instituted. A regular third party technical audit of safeguards measures will also ensure compliance with safeguard policies.",P075941,4,082,"Technical Auditor Conduct regular third party technical audits of safeguards measures to ensure compliance with safeguard policies. technical audit methods, safeguards compliance auditing, report writing, field inspections, risk assessment"
11,inferred,Communications Specialist,Provide communication support to the Rusumo Project Implementation Unit to increase implementation capacity and improve coordination.,"['stakeholder communications', 'public consultation', 'information dissemination', 'media relations', 'community outreach']","Planned additional capacity support to the RPIU on technical, environmental, social and communication aspects will also help to increase capacity to implement the project and improve coordination.",P075941,4,083,"Communications Specialist Provide communication support to the Rusumo Project Implementation Unit to increase implementation capacity and improve coordination. stakeholder communications, public consultation, information dissemination, media relations, community outreach"
1,explicit,Internal Auditor,Fill the vacant Internal Auditor post for the implementing entity and perform internal audit functions during project implementation.,"['public sector auditing', 'financial control systems', 'interim financial reporting', 'audit risk assessment']","NELSAP is yet to fill the post of Internal Auditor although the process has been initiated and recruitment in process. Until a candidate has been identified and recruited, this remains a weak area and as such will be a dated covenant until addressed and recruitment process is finalized.",P075941,5,084,"Internal Auditor Fill the vacant Internal Auditor post for the implementing entity and perform internal audit functions during project implementation. public sector auditing, financial control systems, interim financial reporting, audit risk assessment"
2,explicit,Procurement Specialist,"Support and manage procurement functions for the Rusumo Project, including selection of consultants and processing procurement under Bank guidelines.","['World Bank procurement rules', 'procurement planning', 'consultant selection procedures', 'contract management']",The risk for procurement is rated High in view of the volume and complexity of procurement contracts to be implemented under the project. New staff will be hired for the Rusumo Project to support procurement functions.,P075941,5,085,"Procurement Specialist Support and manage procurement functions for the Rusumo Project, including selection of consultants and processing procurement under Bank guidelines. World Bank procurement rules, procurement planning, consultant selection procedures, contract management"
3,explicit,Contractor,Prepare and implement a detailed environmental and social management plan as part of construction obligations.,"['environmental management plan implementation', 'construction site mitigation', 'waste and pollution control', 'contract compliance']","In addition, the contractor will be required to prepare and implement a detailed environmental and social management plan (ESMP).",P075941,5,086,"Contractor Prepare and implement a detailed environmental and social management plan as part of construction obligations. environmental management plan implementation, construction site mitigation, waste and pollution control, contract compliance"
4,inferred,Environmental and Social Specialist,Establish and staff an Environmental and Social Management Unit to implement the environment and social management plan and related safeguards (RAP and Local Area Development Plan).,"['environment and social safeguards', 'implementation monitoring', 'mitigation planning', 'community consultation']",The overall responsibility for ESMP implementation will be with the RPIU which will establish an Environmental and Social Management Unit (ESMU) reporting to the RPIU Manager and ensuring ESMP implementation as well as implementation of RAP and LADP.,P075941,5,087,"Environmental and Social Specialist Establish and staff an Environmental and Social Management Unit to implement the environment and social management plan and related safeguards (RAP and Local Area Development Plan). environment and social safeguards, implementation monitoring, mitigation planning, community consultation"
5,inferred,Resettlement Specialist,Implement the Resettlement Action Plan including compensation at replacement value and livelihood restoration measures for affected households.,"['involuntary resettlement policy', 'compensation valuation', 'livelihood restoration', 'stakeholder consultation']","A Resettlement Action Plan (RAP), consistent with the Bank's policy on Involuntary Resettlement, OP 4.12, has been prepared for the dam and power plant component to ensure that all affected people will be compensated for their losses and provided with rehabilitation measures to assist them to improve or at least maintain their pre-project standard of living. Compensation for lost land, houses and other assets will be at replacement value and include provision for land of equivalent productive value and a house, or cash compensation.",P075941,5,088,"Resettlement Specialist Implement the Resettlement Action Plan including compensation at replacement value and livelihood restoration measures for affected households. involuntary resettlement policy, compensation valuation, livelihood restoration, stakeholder consultation"
6,inferred,Geotechnical Engineer,Conduct an additional geotechnical investigation during tendering for design and prepare geological baseline reports for bidders.,"['geotechnical site investigation', 'subsurface testing', 'geological reporting', 'tender design inputs']","To further enhance the assessments and reduce risks associated with price escalations during construction, an additional geotechnical investigation will take place in tendering for design. Also, geological baseline reports will be prepared and provided to the prospective bidder's contractor.",P075941,5,089,"Geotechnical Engineer Conduct an additional geotechnical investigation during tendering for design and prepare geological baseline reports for bidders. geotechnical site investigation, subsurface testing, geological reporting, tender design inputs"
7,inferred,Construction Supervisor,"Prepare and execute a detailed plan for construction supervision and quality assurance, including instrumentation and monitoring systems during civil works.","['construction supervision', 'quality assurance testing', 'instrumentation monitoring', 'site safety management']","There will be a detailed plan for the Construction Supervision and Quality Assurance, in addition to detailed instrumentation and monitoring system.",P075941,5,090,"Construction Supervisor Prepare and execute a detailed plan for construction supervision and quality assurance, including instrumentation and monitoring systems during civil works. construction supervision, quality assurance testing, instrumentation monitoring, site safety management"
8,inferred,Hydrologist,Carry out additional bed load measurements during detailed design to assess sediment particle sizes and potential turbine abrasion risks.,"['sediment measurement techniques', 'river hydraulics analysis', 'data collection and sampling', 'sediment impact assessment']",Additional bed load measurements are proposed to be conducted during the detailed design to determine the potential presence of larger particles that might damage the turbines by means of abrasion or impact.,P075941,5,091,"Hydrologist Carry out additional bed load measurements during detailed design to assess sediment particle sizes and potential turbine abrasion risks. sediment measurement techniques, river hydraulics analysis, data collection and sampling, sediment impact assessment"
9,inferred,Stakeholder Engagement Specialist,Implement the communications and consultation program to facilitate dialogue among stakeholders and ensure information is accessible; prepare and implement a Public Consultation Disclosure Plan during implementation.,"['stakeholder consultation', 'communication strategy development', 'public disclosure planning', 'community outreach']","The communications and consultation program will facilitate an informed dialogue to share different viewpoints among stakeholders, including national and regional CSOs and advocacy groups.",P075941,5,092,"Stakeholder Engagement Specialist Implement the communications and consultation program to facilitate dialogue among stakeholders and ensure information is accessible; prepare and implement a Public Consultation Disclosure Plan during implementation. stakeholder consultation, communication strategy development, public disclosure planning, community outreach"
1,explicit,Owner's Engineer,"Conduct a detailed assessment and design modifications, such as river diversion arrangements, in close coordination with stakeholders to ensure smooth project implementation.","['hydraulic modelling', 'design review and modification', 'dam safety assessment', 'geotechnical interpretation', 'stakeholder coordination']","The Rusumo PIU and Owner's Engineer will conduct a detailed assessment and design modifications, such as river diversion arrangements, as required, in close coordination with GoT, GoR and JICA to ensure smooth implementation of the Rusumo Falls hydropower project.",P075941,7,093,"Owner's Engineer Conduct a detailed assessment and design modifications, such as river diversion arrangements, in close coordination with stakeholders to ensure smooth project implementation. hydraulic modelling, design review and modification, dam safety assessment, geotechnical interpretation, stakeholder coordination"
2,explicit,Construction Contractor,Finalize the design of diversion works for temporary river diversion during construction.,"['diversion channel design', 'cofferdam design', 'civil engineering detailing', 'construction planning', 'site coordination']",The contractor will finalize the design of diversion works.,P075941,7,094,"Construction Contractor Finalize the design of diversion works for temporary river diversion during construction. diversion channel design, cofferdam design, civil engineering detailing, construction planning, site coordination"
3,inferred,Project Manager,Lead and coordinate detailed assessments and design modifications with governments and development partners to ensure smooth implementation of the hydropower project.,"['project coordination', 'stakeholder engagement', 'construction scheduling', 'contract management', 'design oversight']","The Rusumo PIU and Owner's Engineer will conduct a detailed assessment and design modifications, such as river diversion arrangements, as required, in close coordination with GoT, GoR and JICA to ensure smooth implementation of the Rusumo Falls hydropower project.",P075941,7,095,"Project Manager Lead and coordinate detailed assessments and design modifications with governments and development partners to ensure smooth implementation of the hydropower project. project coordination, stakeholder engagement, construction scheduling, contract management, design oversight"
4,inferred,Crane Operator,Operate a mobile crane to extend outriggers and install or remove stoplogs from the deck during spillway and intake works.,"['mobile crane operation', 'lifting and rigging safety', 'load positioning', 'equipment inspection']","A mobile crane will be able to extend its outriggers to install and remove the stoplogs, as required, from the deck.",P075941,7,096,"Crane Operator Operate a mobile crane to extend outriggers and install or remove stoplogs from the deck during spillway and intake works. mobile crane operation, lifting and rigging safety, load positioning, equipment inspection"
5,inferred,Maintenance Technician,"Provide operations and maintenance support for dam and spillway, using designated access for ongoing inspections and servicing.","['mechanical maintenance', 'electrical maintenance', 'inspection and testing', 'safety and lockout procedures']",A separate deck downstream of the roadway will serve the spillway without interference with traffic and provide designated access for the dam operations and maintenance personnel.,P075941,7,097,"Maintenance Technician Provide operations and maintenance support for dam and spillway, using designated access for ongoing inspections and servicing. mechanical maintenance, electrical maintenance, inspection and testing, safety and lockout procedures"
